ExpireTime,RaidId,AllyCode,Name,Score,Rank
11/22/2023 17:51:23 +00:00,speederbike,556839255,Jeeves,3959000,34
11/22/2023 17:51:23 +00:00,speederbike,132898449,Jay Maop,3752000,35
11/22/2023 17:51:23 +00:00,speederbike,858966128,T,5677500,14
11/22/2023 17:51:23 +00:00,speederbike,446172192,Q Ryker,3110500,41
11/22/2023 17:51:23 +00:00,speederbike,597271922,Scof,5309500,18
11/22/2023 17:51:23 +00:00,speederbike,334861731,JediAhsoka,1294000,49
11/22/2023 17:51:23 +00:00,speederbike,475136137,WharfRat,3215500,40
11/22/2023 17:51:23 +00:00,speederbike,924462567,non7top,4645500,27
11/22/2023 17:51:23 +00:00,speederbike,124165769,Tyrian,1046250,50
11/22/2023 17:51:23 +00:00,speederbike,478966819,Lambert,4194000,31
11/22/2023 17:51:23 +00:00,speederbike,371731743,Trask droll,6378250,9
11/22/2023 17:51:23 +00:00,speederbike,118679749,manolis,5031000,21
11/22/2023 17:51:23 +00:00,speederbike,312333279,Excessive Fist,2877500,44
11/22/2023 17:51:23 +00:00,speederbike,643373276,Avatany,4699500,26
11/22/2023 17:51:23 +00:00,speederbike,685711659,MINI DarthAzazel,4761500,24
11/22/2023 17:51:23 +00:00,speederbike,454629175,Delara Exibil,6020500,12
11/22/2023 17:51:23 +00:00,speederbike,175993797,El Jefe,4221500,30
11/22/2023 17:51:23 +00:00,speederbike,825371335,Nomad,7627500,2
11/22/2023 17:51:23 +00:00,speederbike,729916753,Squanchy420,4829250,23
11/22/2023 17:51:23 +00:00,speederbike,214224828,JakeY,3259000,39
11/22/2023 17:51:23 +00:00,speederbike,256121811,JHang,2310000,46
11/22/2023 17:51:23 +00:00,speederbike,754294299,Darthsyn,4064000,32
11/22/2023 17:51:23 +00:00,speederbike,585576166,Patrick4,4016000,33
